WKT,SA22022_V1_00,SA22022_V1_00_NAME,SA22022_V1_00_NAME_ASCII,LAND_AREA_SQ_KM,AREA_SQ_KM,EASTING,NORTHING,LATITUDE,LONGITUDE,Shape_X,Shape_Y
"POINT (2761474.75362184 6418795.72316029)",169600,Waihi South,Waihi South,2.68853742,2.68853742,1851179.1326,5857266.64145,-37.3973584693477,175.837525074619,2761474.75362184,6418795.72316029
"POINT (2667684.0081599 6433024.2583933)",169700,Aka Aka,Aka Aka,186.9354706,186.9354706,1757342.09965,5871329.42415,-37.2913504179279,174.775084068579,2667684.0081599,6433024.2583933
"POINT (2703567.56474332 6447339.02610525)",169800,Mangatangi,Mangatangi,258.18575675,258.18575675,1793201.1289,5885710.9345,-37.1550516281148,175.175666355455,2703567.56474332,6447339.02610525
"POINT (2683555.295959 6437599.74528204)",169900,Tuakau Rural,Tuakau Rural,45.99252295,45.99252295,1773205.2318,5875933.56055,-37.2470541813914,174.952884391721,2683555.295959,6437599.74528204
"POINT (2683111.18799837 6436481.84988799)",170000,Tuakau North,Tuakau North,2.69556606,2.69556606,1772763.14095,5874814.8095,-37.2572148993292,174.948162046616,2683111.18799837,6436481.84988799
"POINT (2676409.73009434 6424757.18897188)",170100,Onewhero,Onewhero,205.38985044,205.38985044,1766082.40195,5863077.8319,-37.3641701872435,174.875489967778,2676409.73009434,6424757.18897188
"POINT (2691190.53540665 6438628.46423008)",170200,Pōkeno Rural,Pokeno Rural,84.945063,84.945063,1780839.0563,5876976.3262,-37.2362100844026,175.038653753277,2691190.53540665,6438628.46423008
"POINT (2682511.4673968 6434642.9361404)",170300,Tuakau South,Tuakau South,2.65915211,2.65915211,1772166.7298,5872974.7332,-37.2739022960067,174.941865916031,2682511.4673968,6434642.9361404
"POINT (2667746.37325954 6413940.45892482)",170400,Port Waikato-Waikaretu,Port Waikato-Waikaretu,210.13766506,210.13766506,1757437.6287,5852246.18265,-37.4632647541846,174.780221632936,2667746.37325954,6413940.45892482
"POINT (2690093.64612167 6437983.22920234)",170500,Pōkeno,Pokeno,10.10315364,10.10315364,1779743.26665,5876329.0271,-37.2422532002106,175.026463813757,2690093.64612167,6437983.22920234
